,Unnamed: 0,Text,Compound,Positive,Negative,Neutral,Open,High,Low,Close,Adj Close,Volume
59,59.0,"The S&amp;P 500 officially hit bear market territory last week and, according to Deutsche Bank, is currently on track for its worst half-year performance since the Great Depression. With the large-ca… [+2200 chars]",-0.5719,0.098,0.186,0.716,,,,,,
60,60.0,"Daniel Ives, Managing Director and Senior Equity Research Analyst of Wedbush Securities, treated Twitterati with his favorite technology picks. Ives is a veteran technology sector specialist, and not… [+2041 chars]",0.6369,0.157,0.0,0.843,,,,,,
61,61.0,"The numbers: Existing-home sales fell 3.4% to a seasonally adjusted annual rate of 5.41 million in May, the National Association of Realtors said Tuesday. Compared with May 2021, home sales were down… [+2378 chars]",0.0,0.0,0.0,1.0,,,,,,
62,62.0,"If youre thinking of pulling your 401(k) out of the stock market, or youre too terrified to invest more, you need to meet my friend Betty Badluck.Poor old Betty has had the worst luck of any stock ma… [+5798 chars]",-0.4404,0.123,0.161,0.716,,,,,,
63,63.0,"The Federal Reserves battle to get inflation down from a 40-year high likely means it will raise interest rates until the U.S. economy slows, strategists at the BlackRock Investment Institute warned … [+2181 chars]",-0.1779,0.078,0.121,0.801,,,,,,
64,64.0,It was Turnaround Tuesday for the stock market as investors returned from a three-day weekend following the S&amp;P 500s worst weekly tumble since 2020. Skeptics see a bear-market bounce thats likely… [+2518 chars],-0.6705,0.0,0.151,0.849,,,,,,
65,65.0,"Shares of Dow Inc. sank Wednesday to the lowest level seen since early 2021, after Credit Suisse analyst John Roberts recommended investors sell, citing concerns the specialty chemicals company is li… [+2232 chars]",0.4588,0.173,0.068,0.759,,,,,,
66,66.0,"The bear market in stocks probably isnt over and could have much longer to run if the economy falls into a 1970s-style stagflation scenario, a Wall Street equities strategist warned this week.The S&a… [+2796 chars]",-0.2732,0.0,0.058,0.942,,,,,,
67,67.0,"It started a cryptocurrency investing opportunity that slid into George Kissis direct messages in late April.Its ending with a bitcoin loss of almost $20,000 that the self-declared risk taker from Du… [+11077 chars]",-0.1531,0.075,0.118,0.806,,,,,,
68,68.0,By now even the most ardent tech and growth-stock enthusiasts realize the bull market is over. John Kornitzers approach to selecting high-quality stocks for the Buffalo Flexible Income Fund is one th… [+6656 chars],0.7713,0.199,0.0,0.801,,,,,,
69,69.0,"The numbers: U.S. businesses suffered a sharp slowdown in growth in June, a pair of surveys showed, as high inflation forced customers to cut back on orders and rising interest rates induced worries … [+980 chars]",-0.6705,0.12,0.238,0.642,,,,,,
70,70.0,"The numbers: New filings for unemployment benefits fell by 2,000 last week to 229,000 but remained near a five-month high, suggesting a slight cooling in a red-hot labor market as the U.S. economy sl… [+1128 chars]",-0.0387,0.048,0.052,0.901,,,,,,
71,71.0,"All three major U.S. stock benchmarks closed higher Thursday, with the technology-heavy Nasdaq Composite leading the way up amid economic data showing signs of slowing growth. The Dow Jones Industria… [+370 chars]",0.3818,0.077,0.0,0.923,,,,,,
72,72.0,"In the face of turbulent economic times, Walt Disney Co.s theme-park business could still see some magic. Bank of Americas Jessica Reif Ehrlich wrote Thursday that attendance at Disney 
 DIS,
parks… [+2520 chars]",0.0,0.0,0.0,1.0,,,,,,
73,73.0,The end of the bear market is not close. Thats according to a contrarian analysis of stock market sentiment: the U.S. stock market hasnt yet experienced the extreme pessimism seen at major bottoms.It… [+4393 chars],-0.4201,0.0,0.076,0.924,,,,,,
74,74.0,"As the first half of 2022 draws to a close, Wall Street investment banks and their legions of strategists have been busy telling clients what they should expect in the second half of what has been an… [+5259 chars]",0.0,0.0,0.0,1.0,,,,,,
75,75.0,"The numbers: U.S. new home sales rose 10.7% to a seasonally-adjusted rate of 696,000 in May, from a sharply revised 629,000 in the prior month, the Commerce Department reported Friday.Analysts polled… [+883 chars]",0.0,0.0,0.0,1.0,,,,,,
76,76.0,U.S. stocks rallied into the close on Friday with all three benchmarks finishing near their highs of the session as falling commodity prices and intensifying recession fears caused inflation expectat… [+766 chars],-0.7351,0.0,0.199,0.801,,,,,,
77,77.0,"Good morning. Heres whats happening:
Prices: Bitcoin fell slightly on Sunday but held steady above $21K; ether remains over $1.2K.
Insights: Solana Web3 phone faces long odds based on the blockchai… [+9962 chars]",0.2382,0.057,0.0,0.943,,,,,,
78,78.0,"The numbers: Orders at U.S. factories for long-lasting goods such as new cars or heavy machinery rose 0.7% in May, a stronger than expected reading that showed manufacturers still had plenty of deman… [+2316 chars]",0.3818,0.071,0.0,0.929,,,,,,
79,79.0,"Ethereum Mining Is Going Away, and Miners Are Not Happy The shift from proof-of-work to proof-of-stake will cut power consumption sharplyand leave some expensive technology searching for new uses. (B… [+2568 chars]",-0.6483,0.0,0.178,0.822,,,,,,
80,80.0,"Although the Big 3 stock market indexes are pulling back Monday, exchange internals suggest the stock market is actually gaining ground. The number of advancing stocks are outnumbering decliners 1,70… [+529 chars]",0.4767,0.12,0.0,0.88,,,,,,
81,81.0,"Morgan Stanleys Mike Wilson is one of Wall Streets most vocal bears. But even he thinks this bear-market rally has more room to run. After the Dow Jones Industrial Average 
 DJIA,
 +0.06%
,
 S&am… [+3796 chars]",0.0,0.0,0.0,1.0,,,,,,
82,82.0,"The slumping stock market may soon get a seasonal boost, at least that is what history shows, according to Bespoke Investment Group.Theres not much for investors to get excited about when it comes to… [+1506 chars]",0.6249,0.13,0.0,0.87,,,,,,
83,83.0,"U.S. stock futures pointed to an extension of last weeks gains, buoyed by data showing a slowing economy that in turn could limit the magnitude of Federal Reserve rate hikes.Last week, the S&amp;P 50… [+1178 chars]",0.34,0.064,0.0,0.936,,,,,,
84,84.0,"Shares of UnitedHealth Group Inc. 
 UNH,
 +2.57%
surged 2.8% in afternoon trading Monday, enough to pace the Dow Jones Industrial Average's 
 DJIA,
 -0.12%
gainers, and to put them on track for… [+636 chars]",0.296,0.064,0.0,0.936,,,,,,
85,85.0,"The S&amp;P 500 has found good support recently and, while in a bear market, the large-cap index may not fall much further this year, said David Bianco, chief investment officer of the Americas for f… [+2301 chars]",0.6808,0.138,0.0,0.862,,,,,,
86,86.0,"Bank of America clients sold the stock-market rally last week but were buying exchange-traded funds across styles in a tough year for equities, according to BofA Global Research. The banks clients we… [+3199 chars]",-0.1901,0.0,0.05,0.95,,,,,,
87,87.0,"As the first half of 2022 leaves U.S. stocks on track for a historically challenging year with soaring inflation, tighter monetary policy and a possible recession, a top Wall Street analyst warned th… [+2869 chars]",-0.3612,0.087,0.125,0.789,,,,,,
88,88.0,"U.S. stock futures rose on Tuesday, bouncing back after a sluggish session as concerns about rapid inflation continue to weigh on sentiment.
Whats happening
<ul><li> 
 Futures on the Dow Jones Ind… [+1457 chars]",-0.4019,0.0,0.078,0.922,,,,,,
89,89.0,"U.S. stocks opened slightly higher on Wednesday following two days of losses after the final reading on first-quarter GDP showed the American economy shrank by an even larger margin, while Federal Re… [+314 chars]",-0.4019,0.0,0.076,0.924,,,,,,
90,90.0,"U.S. stocks ended near unchanged Wednesday, with the Dow Jones Industrial Average hanging on to a small gain, as investors weighed remarks by Federal Reserve Chair Jerome Powell. The Fed chief, speak… [+507 chars]",0.5267,0.093,0.0,0.907,,,,,,
91,91.0,"Bitcoin is struggling to hold above the psychological level of $20,000, as the Dow Jones Industrial Average 
 DJIA,
 +0.21%
strives to hold its gains on Wednesday.The cryptocurrency 
 BTCUSD,
 -… [+1553 chars]",-0.1027,0.07,0.082,0.848,,,,,,
92,92.0,"The PCE inflation gauge preferred by the Federal Reserve is forecast to rise 0.7% in May. The core rate, which excludes food and gas, is seen increasing 0.4%. The 12-month rate of increase in the PCE… [+445 chars]",0.3182,0.059,0.0,0.941,,,,,,
93,93.0,"Apple Inc. is no longer importing gold and tungsten from Russia, the company has confirmed to MarketWatch.The tech giant uses a range of materials, including gold, tungsten and the metal tantalum in … [+1472 chars]",-0.296,0.0,0.061,0.939,,,,,,
94,94.0,"Stocks opened sharply lower Wednesday, on track to cap a brutal first half for equities that has the S&amp;P 500 on pace for its worst such start since at least 1970. The Dow Jones Industrial Average… [+635 chars]",-0.886,0.0,0.229,0.771,,,,,,
95,95.0,"U.S stock futures fell sharply on Thursday, as traders anticipated the release of inflation data closely watched by the Federal Reserve, and Wall Street braced for its worst first half of the year si… [+3323 chars]",-0.6249,0.0,0.105,0.895,,,,,,
96,96.0,The numbers: Americans increased spending in May by just 0.2% the smallest increase in 2022 as high inflation made them more cautious about what they buy and how much.Economists polled by The Wall St… [+891 chars],0.4033,0.113,0.043,0.844,,,,,,
97,97.0,"Good morning. Heres whats happening:
Prices: Bitcoin tumbles amid continued crypto industry stress.
Insights: Speculating on tokenized carbon offsets won't help prevent climate change, a consultant… [+10480 chars]",-0.3031,0.088,0.186,0.727,,,,,,
98,98.0,Rising fears of a recession are getting the blame for the stock markets renewed slide while also driving a retreat in Treasury yields. A look at a regional Fed banks closely followed economic-growth … [+3445 chars],-0.6597,0.085,0.188,0.728,,,,,,
99,99.0,"Douglas Rissing/iStock via Getty Images
Investors are still battling to determine what the Federal Reserve is going to do going forward.
 Will the Federal Reserve stay firm and keep its foot on the… [+6479 chars]",-0.2732,0.0,0.058,0.942,,,,,,
100,,,,,,,316.57000732421875,320.1499938964844,313.6199951171875,319.3900146484375,318.6530456542969,5260500.0
101,,,,,,,317.9800109863281,322.5400085449219,317.45001220703125,321.2799987792969,320.5386657714844,4612800.0
102,,,,,,,322.95001220703125,327.7699890136719,322.8999938964844,326.45001220703125,325.6967468261719,3270200.0
103,,,,,,,327.04998779296875,332.1300048828125,326.82000732421875,332.07000732421875,331.30377197265625,2773100.0
104,,,,,,,330.1700134277344,332.54998779296875,327.6600036621094,330.20001220703125,329.4381103515625,4354000.0
105,,,,,,,332.4100036621094,332.95001220703125,326.1000061035156,328.3599853515625,327.6023254394531,3721400.0
106,,,,,,,328.54998779296875,332.7799987792969,325.3599853515625,332.7699890136719,332.00213623046875,3718800.0
107,,,,,,,329.8699951171875,331.7300109863281,328.7300109863281,329.3500061035156,328.5900573730469,4149700.0
108,,,,,,,331.5899963378906,332.739990234375,328.5299987792969,329.45001220703125,328.6898193359375,1957600.0
109,,,,,,,326.82000732421875,332.4700012207031,326.82000732421875,332.1700134277344,331.403564453125,2424000.0
110,,,,,,,330.55999755859375,331.92999267578125,328.55999755859375,329.3800048828125,328.6199951171875,2032900.0
111,,,,,,,328.1600036621094,329.989990234375,323.0,323.0,322.25469970703125,2591500.0
112,,,,,,,318.30999755859375,318.7699890136719,314.32000732421875,314.3699951171875,313.6446228027344,4482400.0
113,,,,,,,307.5,309.6199951171875,304.1600036621094,305.5799865722656,304.8748779296875,6317200.0
114,,,,,,,306.6099853515625,307.42999267578125,301.92999267578125,304.29998779296875,303.59783935546875,3724000.0
115,,,,,,,306.3999938964844,310.67999267578125,302.260009765625,307.2300109863281,306.5211181640625,7060900.0
116,,,,,,,301.3699951171875,301.6600036621094,298.0199890136719,299.8999938964844,299.2080078125,4943500.0
117,,,,,,,298.2699890136719,301.5799865722656,296.3900146484375,298.7200012207031,298.7200012207031,4734400.0
118,,,,,,,303.0799865722656,306.4700012207031,302.6199951171875,305.2900085449219,305.2900085449219,3246500.0
119,,,,,,,301.5299987792969,307.67999267578125,301.3299865722656,304.6099853515625,304.6099853515625,6361200.0
120,,,,,,,305.6700134277344,307.05999755859375,302.7799987792969,306.739990234375,306.739990234375,3582600.0
121,,,,,,,309.20001220703125,315.1199951171875,309.1199951171875,315.0199890136719,315.0199890136719,3314800.0
122,,,,,,,315.3999938964844,315.8900146484375,313.3800048828125,314.3599853515625,314.3599853515625,1896500.0
123,,,,,,,316.0,318.75,309.2300109863281,309.3399963378906,309.3399963378906,3025900.0
124,,,,,,,310.3999938964844,311.4800109863281,308.8299865722656,310.04998779296875,310.04998779296875,2462800.0
125,,,,,,,306.75,309.82000732421875,304.25,307.82000732421875,307.82000732421875,4117800.0
126,,,,,,,307.3999938964844,311.30999755859375,304.7699890136719,310.8500061035156,310.8500061035156,3312000.0
