,Date,Text,Compound,Positive,Negative,Neutral
52,2022-06-09,"Range-bound U.S. stocks may be set for a positive day, as U.S. stock index futures advanced in early action.
Whats happening
<ul><li> 
 Futures on the Dow Jones Industrial Average 
 YM00,
 +0.27… [+1808 chars]",0.6808,0.153,0.0,0.847
53,2022-06-09,"British American Tobacco PLC on Thursday reiterated 2022 guidance for revenue and earnings growth.
The FTSE 100 tobacco group 
 BTI,
 -2.46%
BATS,
 -0.39%
maintained full-year constant-currency… [+532 chars]",0.3818,0.088,0.0,0.912
54,2022-06-09,"SHANGHAI, June 9 (Reuters) - Asian stocks fell, U.S. bond yields rose and a soaring dollar pushed to a two-decade high against the yen on Thursday as investors worried about the outlook for more rate… [+3617 chars]",-0.296,0.0,0.058,0.942
55,2022-06-09,"Sharp Corp. 
 6753,
 -6.26%
shares fell sharply Thursday morning after the electronics maker projected a 32% drop in fiscal-year net profit, citing a deterioration in the market for large liquid-c… [+910 chars]",0.4588,0.141,0.058,0.801
56,2022-06-09,"U.S. stock futures wavered as investors digested the European Central Banks plan to begin increasing interest rates next month. 
Futures for the S&amp;P 500 on Thursday were down 0.1%. Contracts for… [+247 chars]",0.4588,0.086,0.0,0.914
57,2022-06-09,"Wells Fargo &amp; Co. 
 WFC,
 -4.39%
late Thursday responded to a New York Times article stating that the company is at the center of a criminal investigation regarding whether it had violated fed… [+1218 chars]",-0.7003,0.049,0.167,0.784
58,2022-06-09,"The Dow Jones Industrial Average sunk close to 640 points after concerns over a looming recession grew louder today. In a recent survey conducted by CNBC among various chief financial officers, not o… [+3370 chars]",-0.5106,0.0,0.115,0.885
59,2022-06-10,"<ul><li>
Summary</li><li>
Law firms</li><li>
Related documents</li></ul>
(Reuters) - Dow Jones &amp; Co sued prominent investment manager Britt Harris in federal court on Friday, accusing him of … [+1944 chars]",0.1531,0.074,0.055,0.871
60,2022-06-10,"Shares of Bluebird Bio Inc. were rising in Fridays after-hours market, following news that a U.S. Food and Drug Administration Committee supported two of the companys gene therapies to treat various … [+1376 chars]",0.7351,0.188,0.0,0.812
61,2022-06-10,"Chinas consumer inflation stayed unchanged in May, while factory-gate prices rose at a slower pace as COVID-19 lockdowns jammed up logistics networks and weakened demand.The countrys consumer price i… [+932 chars]",-0.3182,0.0,0.071,0.929
